Module ID,T (Â°C),G (W/m2),Isc (A),Voc (V),Imp (A),Vmp (V),Pmp (W)
19074-004,15,100,0.882,34.88,0.819,29.67,24.31
19074-004,15,200,1.767,36.08,1.657,30.69,50.87
19074-004,15,400,3.540,37.28,3.348,31.52,105.52
19074-004,15,600,5.341,37.98,5.043,31.82,160.46
19074-004,15,800,7.139,38.47,6.737,31.91,214.99
19074-004,15,1000,8.951,38.87,8.439,31.90,269.22
19074-004,25,100,0.885,33.54,0.820,28.26,23.17
19074-004,25,200,1.770,34.79,1.654,29.36,48.58
19074-004,25,400,3.550,36.03,3.332,30.18,100.56
19074-004,25,600,5.351,36.75,5.031,30.48,153.37
19074-004,25,800,7.160,37.27,6.728,30.61,205.98
19074-004,25,1000,8.988,37.70,8.436,30.64,258.52
19074-004,25,1100,9.876,37.85,9.272,30.58,283.57
19074-004,50,100,0.897,30.33,0.821,25.03,20.56
19074-004,50,200,1.792,31.66,1.665,26.15,43.53
19074-004,50,400,3.595,32.99,3.343,27.02,90.34
19074-004,50,600,5.412,33.77,5.031,27.33,137.51
19074-004,50,800,7.237,34.33,6.732,27.47,184.94
19074-004,50,1000,9.076,34.76,8.420,27.49,231.45
19074-004,50,1100,9.976,34.94,9.251,27.47,254.08
19074-004,75,100,0.908,27.00,0.819,21.76,17.82
19074-004,75,200,1.814,28.44,1.658,22.91,37.98
19074-004,75,400,3.632,29.89,3.330,23.82,79.33
19074-004,75,600,5.465,30.74,5.008,24.20,121.21
19074-004,75,800,7.305,31.34,6.691,24.35,162.90
19074-004,75,1000,9.151,31.81,8.360,24.39,203.86
19074-004,75,1100,10.069,32.01,9.197,24.37,224.11